Contig ID	Sequence	Primer
FM329_3010649_tp2_A1	FORCED	Yes
FM329_3010649_tp2_D6	FORCED	Yes
FM329_3010649_tp2_D8	FORCED	Yes
FM329_3010649_tp2_C10	FORCED	Yes
FM329_3010649_tp2_F3	FORCED	Yes
FM329_3010649_tp2_F4	FORCED	Yes
FM329_3010649_tp2_F11	FORCED	Yes
FM329_3010649_tp2_G1	FORCED	Yes
FM329_3010649_tp2_H1	FORCED	Yes
FM329_3010649_tp2_H2	FORCED	Yes
FM329_3010649_tp2_G3	FORCED	Yes
FM329_3010649_tp2_A3	FORCED	Yes
FM329_3010649_tp2_H3	FORCED	Yes
FM329_3010649_tp2_H7	FORCED	Yes
FM329_3010649_tp2_G9	FORCED	Yes
FM329_3010649_tp2_H10	FORCED	Yes
FM329_3010649_tp2_G12	FORCED	Yes
FM330_3010649_tp2_A1	FORCED	Yes
FM330_3010649_tp2_A4	FORCED	Yes
FM330_3010649_tp2_A9	FORCED	Yes
FM330_3010649_tp2_B9	FORCED	Yes
FM330_3010649_tp2_A10	FORCED	Yes
FM329_3010649_tp2_B3	FORCED	Yes
FM330_3010649_tp2_A12	FORCED	Yes
FM330_3010649_tp2_C1	FORCED	Yes
FM330_3010649_tp2_C2	FORCED	Yes
FM330_3010649_tp2_C3	FORCED	Yes
FM330_3010649_tp2_C7	FORCED	Yes
FM330_3010649_tp2_C8	FORCED	Yes
FM330_3010649_tp2_D8	FORCED	Yes
FM330_3010649_tp2_C9	FORCED	Yes
FM330_3010649_tp2_C10	FORCED	Yes
FM330_3010649_tp2_C11	FORCED	Yes
FM329_3010649_tp2_B4	FORCED	Yes
FM330_3010649_tp2_D11	FORCED	Yes
FM330_3010649_tp2_F3	FORCED	Yes
FM330_3010649_tp2_E5	FORCED	Yes
FM330_3010649_tp2_E12	FORCED	Yes
FM330_3010649_tp2_H1	FORCED	Yes
FM330_3010649_tp2_G4	FORCED	Yes
FM330_3010649_tp2_G7	FORCED	Yes
FM330_3010649_tp2_H7	FORCED	Yes
FM330_3010649_tp2_H9	FORCED	Yes
CMI_1C1_Bfragment_V2G	FORCED	Yes
FM329_3010649_tp2_A10	FORCED	Yes
BS056_0073672_QVOA_Cell_A7	FORCED	Yes
BS056_0073672_QVOA_Cell_C2	FORCED	Yes
BS056_0073672_QVOA_Cell_D7	FORCED	Yes
BS056_0073672_QVOA_Cell_F11	FORCED	Yes
BS056_0073672_QVOA_Cell_G4	FORCED	Yes
BS056_0073672_QVOA_Cell_G10	FORCED	Yes
FM329_3010649_tp2_B10	FORCED	Yes
FM329_3010649_tp2_D4	FORCED	Yes
FM329_3010649_tp2_C5	FORCED	Yes
FM329_3010649_tp2_C6	FORCED	Yes
